Depth,Cone Resistance,Side Friction,P-wave Velocity
0.1,0.19,14.0,0.37006602
0.2,0.2,14.2,0.37434013
0.30000000000000004,0.23,24.2,0.37861424
0.4,0.51,56.1,0.38288835
0.5,0.59,75.2,0.38716245
0.6,0.72,79.4,0.39163357
0.7000000000000001,0.98,77.8,0.39991358
0.8,1.06,78.3,0.40819358
0.9,1.01,79.5,0.41647358
1.0,0.86,76.6,0.42475358
1.1,0.71,68.2,0.43467317
1.2000000000000002,0.58,59.7,0.45962224
1.3000000000000003,0.53,52.7,0.48457131
1.4000000000000001,0.46,50.9,0.50952038
1.5000000000000002,0.51,47.7,0.53446945
1.6,0.63,47.7,0.5631829
1.7000000000000002,0.83,51.2,0.61364608
1.8000000000000003,0.88,56.2,0.66410927
1.9000000000000001,0.95,59.0,0.71457245
2.0,0.94,62.4,0.76503564
2.1,1.01,60.8,0.81535738
2.2,1.08,62.1,0.86510155
2.3000000000000003,0.99,59.5,0.91484572
2.4000000000000004,1.09,62.5,0.9645899
2.5000000000000004,1.1,77.4,1.01433407
2.6,1.25,84.5,1.06190466
2.7,1.31,96.0,1.10280957
2.8000000000000003,0.97,90.4,1.14371449
2.9000000000000004,0.46,72.9,1.18461941
3.0000000000000004,0.25,59.2,1.22552433
3.1,0.81,57.3,1.26606346
3.2,1.06,68.8,1.3057288
3.3000000000000003,1.21,75.6,1.34539413
3.4000000000000004,1.33,84.6,1.38505946
3.5000000000000004,1.81,104.7,1.4247248
3.6,2.27,132.3,1.45924707
3.7,4.83,167.9,1.48397303
3.8000000000000003,2.07,150.6,1.508699
3.9000000000000004,1.89,122.7,1.53342496
4.0,2.03,86.6,1.55815092
4.1,2.66,129.5,1.57964869
4.2,1.96,150.2,1.59616966
4.3,2.34,148.3,1.61269062
4.3999999999999995,2.34,142.0,1.62921159
4.5,2.03,131.6,1.64573255
4.6,1.83,114.7,1.66225352
4.7,1.62,4.6,1.67877448
4.8,0.51,85.3,1.69529545
4.9,1.73,78.7,1.71181641
5.0,1.82,82.6,1.72833738
5.1,2.02,94.9,1.73991237
5.2,1.8,80.7,1.74637652
5.3,1.94,72.5,1.75284066
5.4,2.65,67.5,1.75930481
5.5,3.4,41.2,1.76576896
5.6,4.5,29.7,1.7634564
5.7,5.42,37.3,1.75369695
5.8,6.23,45.3,1.74393749
5.9,6.3,43.9,1.73417803
6.0,5.67,52.0,1.72441858
6.1,5.71,53.9,1.71580641
6.2,6.43,56.5,1.70799096
6.3,7.58,67.0,1.70017552
6.4,8.99,65.4,1.69236007
6.5,8.19,69.6,1.68454463
6.6,8.39,83.4,1.67196949
6.7,9.3,83.0,1.65670939
6.8,9.17,73.4,1.6414493
6.9,8.16,77.6,1.62618921
7.0,7.85,69.7,1.61092911
7.1,8.86,72.9,1.59809471
7.2,9.79,76.5,1.58635764
7.3,11.31,92.7,1.57462057
7.4,14.96,124.5,1.5628835
7.5,15.0,151.6,1.55114644
7.6,15.73,114.7,1.54819631
7.7,14.68,124.5,1.54837044
7.8,11.2,122.0,1.54854457
7.9,9.73,104.6,1.54871869
8.0,11.73,99.4,1.54889282
8.1,12.32,98.8,1.55397166
8.2,13.22,113.5,1.56037886
8.3,13.15,127.9,1.56678606
8.4,13.25,125.8,1.57319326
8.5,13.92,115.5,1.57960046
8.6,13.11,129.8,1.58303414
8.7,12.42,109.4,1.58588478
8.8,12.94,109.3,1.58873543
8.9,13.05,112.9,1.59158607
9.0,14.14,115.9,1.59443671
9.1,11.78,132.9,1.59616165
9.2,12.8,85.9,1.59774067
9.3,12.92,93.5,1.59931969
9.4,13.98,120.2,1.60089871
9.5,15.17,131.9,1.60247773
9.6,17.15,142.9,1.60613952
9.700000000000001,17.4,150.8,1.60994746
9.8,16.97,132.5,1.61375541
9.9,16.22,134.4,1.61756336
10.0,15.62,134.5,1.6213713
10.1,14.36,126.9,1.62780209
10.200000000000001,12.84,112.2,1.63427659
10.3,11.43,106.4,1.6407511
10.4,11.96,98.0,1.6472256
10.5,13.1,98.3,1.65376754
10.6,13.41,114.9,1.66229894
10.700000000000001,14.22,126.9,1.67083035
10.8,14.67,132.4,1.67936175
10.9,14.56,125.3,1.68789315
11.0,14.63,130.3,1.696313
11.1,14.93,134.1,1.70348341
11.200000000000001,14.0,153.5,1.71065382
11.3,13.5,136.2,1.71782422
11.4,13.63,106.2,1.72499463
11.5,15.26,119.8,1.73103811
11.6,16.45,127.7,1.72961567
